Title,Artist,Date,Medium,Image
"L'Arlésienne: Madame Joseph-Michel Ginoux (Marie Julien, 1848–1911)",Vincent van Gogh,1888–89,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/web-large/DT1396.jpg
"La Berceuse (Woman Rocking a Cradle; Augustine-Alix Pellicot Roulin, 1851–1930)",Vincent van Gogh,1889,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/web-large/DP-19279-001.jpg
Oleanders,Vincent van Gogh,1888,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/web-large/DT1494.jpg
The Adoration of the Magi,Justus of Ghent (Joos van Wassenhove),1472–74,Distemper on canvas,https://images.metmuseum.org/CRDImages/ep/web-large/DP-16339-001.jpg
Virgin and Child with Four Angels,Gerard David,ca. 1510–15,Oil on wood,https://images.metmuseum.org/CRDImages/ep/web-large/DP-1410-001.jpg
Christ Asleep during the Tempest,Eugène Delacroix,ca. 1853,Oil on canvas,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14343-001.jpg
The Fifteen Mysteries and the Virgin of the Rosary,Netherlandish (Brussels) Painter,ca. 1515–20,Oil on wood,https://images.metmuseum.org/CRDImages/ep/web-large/DT5754.jpg
Head of Christ (Ecce Homo),Petrus Christus,ca. 1445,"Oil on parchment, laid down on wood",https://images.metmuseum.org/CRDImages/ep/web-large/DT229079.jpg
Salvator Mundi,Hans Memling,1480–85,Oil on wood,https://images.metmuseum.org/CRDImages/ep/web-large/DP-19586-001.jpg
Head of a ruler,,ca. 2300–2000 BCE,Copper alloy,https://images.metmuseum.org/CRDImages/an/web-large/DT858.jpg
